INFO 2025-12-25 18:29:38,690 autoreload Watching for file changes with StatReloader
WARNING 2025-12-25 18:37:05,844 log "GET /media/submissions/manuscripts/1503fcbd-b162-4fce-9d82-60916f8b6af5.pdf HTTP/1.1" 404 179
INFO 2025-12-25 18:37:15,972 log "GET /api/auth/me/ HTTP/1.1" 200 124
INFO 2025-12-25 18:37:15,983 log "GET /api/auth/me/ HTTP/1.1" 200 124
INFO 2025-12-25 18:37:15,983 log "GET /api/submissions/ HTTP/1.1" 200 1697
INFO 2025-12-25 18:37:15,992 log "GET /api/submissions/ HTTP/1.1" 200 1697
INFO 2025-12-25 18:38:58,157 autoreload Watching for file changes with StatReloader
INFO 2025-12-25 18:39:23,010 log "GET /admin/journals/journal/ HTTP/1.1" 200 17402
WARNING 2025-12-25 18:39:23,059 log Not Found: /static/admin/js/vendor/jquery/jquery.min.js
INFO 2025-12-25 18:39:23,060 log "GET /admin/jsi18n/ HTTP/1.1" 200 3342
WARNING 2025-12-25 18:39:23,061 log Not Found: /static/admin/js/vendor/xregexp/xregexp.min.js
WARNING 2025-12-25 18:39:23,062 log "GET /static/admin/js/vendor/jquery/jquery.min.js HTTP/1.1" 404 179
WARNING 2025-12-25 18:39:23,063 log "GET /static/admin/js/vendor/xregexp/xregexp.min.js HTTP/1.1" 404 179
INFO 2025-12-25 18:39:23,497 log "GET /api/auth/me/ HTTP/1.1" 200 124
INFO 2025-12-25 18:39:23,507 log "GET /api/auth/me/ HTTP/1.1" 200 124
INFO 2025-12-25 18:39:23,507 log "GET /api/submissions/ HTTP/1.1" 200 1697
INFO 2025-12-25 18:39:23,516 log "GET /api/submissions/ HTTP/1.1" 200 1697
INFO 2025-12-25 18:39:25,809 log "GET /admin/journals/issue/ HTTP/1.1" 200 18046
INFO 2025-12-25 18:39:25,845 log "GET /admin/jsi18n/ HTTP/1.1" 200 3342
WARNING 2025-12-25 18:39:25,858 log Not Found: /static/admin/js/vendor/jquery/jquery.min.js
WARNING 2025-12-25 18:39:25,858 log "GET /static/admin/js/vendor/jquery/jquery.min.js HTTP/1.1" 404 179
WARNING 2025-12-25 18:39:25,864 log Not Found: /static/admin/js/vendor/xregexp/xregexp.min.js
WARNING 2025-12-25 18:39:25,865 log "GET /static/admin/js/vendor/xregexp/xregexp.min.js HTTP/1.1" 404 179
INFO 2025-12-25 18:39:52,967 log "GET /api/auth/me/ HTTP/1.1" 200 124
INFO 2025-12-25 18:39:52,969 log "GET /api/submissions/ HTTP/1.1" 200 1697
INFO 2025-12-25 18:39:52,972 log "GET /api/auth/me/ HTTP/1.1" 200 124
INFO 2025-12-25 18:39:52,975 log "GET /api/submissions/ HTTP/1.1" 200 1697
INFO 2025-12-25 18:39:58,366 log "GET /api/auth/me/ HTTP/1.1" 200 124
INFO 2025-12-25 18:39:58,373 log "GET /api/submissions/ HTTP/1.1" 200 1697
INFO 2025-12-25 18:39:58,373 log "GET /api/auth/me/ HTTP/1.1" 200 124
INFO 2025-12-25 18:39:58,381 log "GET /api/submissions/ HTTP/1.1" 200 1697
INFO 2025-12-25 18:40:01,888 log "GET /api/submissions/2/ HTTP/1.1" 200 556
INFO 2025-12-25 18:40:01,895 log "GET /api/submissions/2/ HTTP/1.1" 200 556
INFO 2025-12-25 18:40:11,368 log "GET /api/auth/me/ HTTP/1.1" 200 124
INFO 2025-12-25 18:40:11,376 log "GET /api/auth/me/ HTTP/1.1" 200 124
INFO 2025-12-25 18:40:11,376 log "GET /api/submissions/ HTTP/1.1" 200 1697
INFO 2025-12-25 18:40:11,388 log "GET /api/submissions/ HTTP/1.1" 200 1697
INFO 2025-12-25 18:40:13,697 log "GET /api/auth/me/ HTTP/1.1" 200 124
INFO 2025-12-25 18:40:13,706 log "GET /api/plans/ HTTP/1.1" 200 463
INFO 2025-12-25 18:40:13,706 log "GET /api/journals/ HTTP/1.1" 200 649
INFO 2025-12-25 18:40:13,707 log "GET /api/submissions/ HTTP/1.1" 200 1697
INFO 2025-12-25 18:40:13,715 log "GET /api/auth/me/ HTTP/1.1" 200 124
INFO 2025-12-25 18:40:13,721 log "GET /api/journals/ HTTP/1.1" 200 649
INFO 2025-12-25 18:40:13,728 log "GET /api/plans/ HTTP/1.1" 200 463
INFO 2025-12-25 18:40:13,729 log "GET /api/submissions/ HTTP/1.1" 200 1697
INFO 2025-12-25 18:40:15,600 log "GET /api/journals/ HTTP/1.1" 200 649
INFO 2025-12-25 18:40:15,600 log "GET /api/submissions/ HTTP/1.1" 200 1697
INFO 2025-12-25 18:40:15,610 log "GET /api/journals/ HTTP/1.1" 200 649
INFO 2025-12-25 18:40:15,613 log "GET /api/submissions/ HTTP/1.1" 200 1697
INFO 2025-12-25 18:40:19,609 log "PATCH /api/submissions/2/ HTTP/1.1" 200 556
INFO 2025-12-25 18:40:28,656 log "GET /api/journals/ HTTP/1.1" 200 649
INFO 2025-12-25 18:40:28,657 log "GET /api/submissions/ HTTP/1.1" 200 1697
INFO 2025-12-25 18:40:34,084 log "PATCH /api/submissions/2/ HTTP/1.1" 200 556
INFO 2025-12-25 18:40:36,786 log "GET /api/submissions/2/ HTTP/1.1" 200 556
INFO 2025-12-25 18:40:36,793 log "GET /api/submissions/2/ HTTP/1.1" 200 556
INFO 2025-12-25 18:40:36,808 log "GET /api/journals/ HTTP/1.1" 200 649
INFO 2025-12-25 18:40:36,814 log "GET /api/journals/ HTTP/1.1" 200 649
INFO 2025-12-25 18:41:33,573 log "PATCH /api/submissions/2/ HTTP/1.1" 200 556
WARNING 2025-12-25 18:42:47,942 log Unauthorized: /api/submissions/
WARNING 2025-12-25 18:42:47,943 log Unauthorized: /api/journals/
WARNING 2025-12-25 18:42:47,944 log "GET /api/submissions/ HTTP/1.1" 401 172
WARNING 2025-12-25 18:42:47,944 log "GET /api/journals/ HTTP/1.1" 401 172
WARNING 2025-12-25 18:42:47,949 log Unauthorized: /api/submissions/
WARNING 2025-12-25 18:42:47,951 log Unauthorized: /api/journals/
